level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	720	-1	
2	1	1	0	0	0	38	24	1204	358	-1	
3	1	1	1	0	0	38	24	1204	358	-1	
4	1	1	1	1	0	38	24	1204	19	-1	
5	1	1	1	1	1	38	24	20	18	91.220650	@
5	1	1	1	1	2	76	27	84	16	95.886093	NEXUS
5	1	1	1	1	3	178	27	99	16	95.858093	EVENTS
5	1	1	1	1	4	495	31	41	10	96.424065	LIVE
5	1	1	1	1	5	548	31	85	10	96.363487	ATTENDEE
5	1	1	1	1	6	647	31	85	10	76.224365	CHECK-IN
5	1	1	1	1	7	744	31	41	10	96.858353	FEED
5	1	1	1	1	8	1150	28	92	13	96.096367	17:30:00
4	1	1	1	2	0	481	369	317	13	-1	
5	1	1	1	2	1	481	369	105	13	95.482773	ATTENDEE
5	1	1	1	2	2	602	369	103	13	96.045502	CHECK-IN
5	1	1	1	2	3	721	369	77	13	96.042267	SYSTEM
