Delivery_ID,Latitude,Longitude,Weight_Kg
D001,11.5743,80.4154,8
D002,22.2567,84.1115,46
D003,28.5449,91.8382,76
D004,16.3275,75.1125,54
D005,12.8767,78.568,91
D006,21.9921,78.2476,74
D007,11.9275,80.4155,95
D008,12.8714,96.1284,90
D009,27.7544,87.2132,42
D010,26.7727,95.589,10
D011,14.0227,76.8044,81
D012,22.5065,79.6937,33
D013,24.8048,94.0749,57
D014,26.4741,91.084,53
D015,15.3066,78.8682,5
D016,28.3591,83.3489,33
D017,13.8772,80.7139,11
D018,22.6055,93.4883,84
D019,23.2375,96.0288,87
D020,16.5854,96.6169,11
D021,13.2809,85.1002,90
D022,24.2147,79.373,21
D023,27.5055,92.3882,77
D024,25.6224,87.8702,58
D025,14.5756,80.6364,68
D026,16.8909,93.5573,74
D027,27.981,74.5807,26
D028,18.7296,76.134,25
D029,10.8931,78.6467,69
D030,30.5271,79.0164,32
D031,21.5524,70.673,20
D032,15.6954,79.8276,86
D033,25.2526,71.1011,92
D034,15.4935,95.7789,52
D035,22.8205,88.3555,96
D036,28.7924,95.1638,10
D037,11.4012,80.2607,44
D038,29.503,86.274,98
D039,22.7323,94.8099,63
D040,29.3398,75.2283,46
D041,32.66,92.559,62
D042,14.255,76.2056,41
D043,8.6443,85.7451,71
D044,13.8864,81.3701,99
D045,17.2674,81.5968,89
D046,16.1498,68.2321,40
D047,16.4759,78.4671,5
D048,32.517,74.8614,75
D049,20.0951,91.1798,62
D050,25.6949,84.1656,56
