Store_ID,Latitude,Longitude,Monthly_Revenue
S001,12.5132,79.3454,196069
S002,8.7051,69.6996,165456
S003,27.7573,87.8942,198053
S004,11.297,72.7586,199193
S005,11.8835,86.6258,242075
S006,19.2537,81.7838,260679
S007,26.9654,78.2035,279234
S008,14.0835,75.6095,223036
S009,21.095,70.2165,288071
S010,11.3172,75.2244,172776
S011,25.4069,73.8644,344325
S012,34.8524,94.6509,209025
S013,12.4849,80.9781,232127
S014,33.3319,69.6126,355671
S015,19.9705,85.9475,240898
S016,13.0286,68.0943,183588
S017,11.2437,68.0623,180955
S018,18.195,88.8564,244304
S019,14.1166,95.5369,180735
S020,32.99,96.4232,187008
S021,34.7327,82.8935,253262
S022,34.8683,89.5818,206385
S023,24.3895,91.6664,244163
S024,26.083,71.2084,271043
S025,21.9455,82.3438,243942
S026,12.7122,96.5638,106224
S027,22.2578,80.6869,242615
S028,29.7062,78.188,286135
S029,14.7697,83.4841,195125
S030,22.2817,74.6762,255248
